formula,na_stoichiometry,fe_fraction,mn_fraction,co_fraction,ni_fraction,cu_fraction,zn_fraction,vacancy_fraction,water_content,c_rate,voltage_min_V,voltage_max_V,test_temp_C,electrolyte,specific_capacity_mAhg,avg_voltage_V,capacity_retention_pct,ICE_pct,rate_cap_1C_5C_pct,synth_temp_C,synth_pH,precursor_conc_M,aging_time_h,paper_doi,paper_year,lab_group,notes,mp_material_id,mp_formula_matched,mp_formation_energy_per_atom,mp_energy_above_hull,mp_band_gap,mp_volume,mp_density,mp_nsites,mp_volume_per_atom,mm_mean_atomic_weight,mm_mean_mendeleev_num,mm_mean_atomic_radius,mm_mean_electronegativity,mm_mean_s_valence,mm_mean_d_valence,mm_mean_f_valence,mm_mean_total_valence,mm_mean_s_unfilled,mm_mean_d_unfilled,mm_mean_total_unfilled,mm_mean_gs_volume_pa,mm_mean_gs_bandgap,mm_mean_gs_magmom,mm_mean_spacegroup,mm_mean_covalent_radius,mm_range_atomic_radius,mm_range_electronegativity,mm_range_d_valence,mm_avgdev_electronegativity,mm_avgdev_atomic_radius,mm_max_electronegativity,mm_min_electronegativity,mm_mean_ionization_energy,mm_mean_electron_affinity,mm_mean_row,mm_mean_column,mm_std_atomic_radius,mm_std_electronegativity,mm_n_elements,mm_stoichiometry_entropy,pba_weighted_ionic_radius,pba_ionic_radius_mismatch,pba_weighted_d_electrons,pba_jt_active_fraction,pba_n_redox_active_metals,pba_theoretical_capacity,pba_charge_balance,pba_substitution_entropy,pba_jt_active_bool,pba_redox_potential_estimate,pba_framework_rigidity,pba_na_vacancy_fraction,pba_na_vacancy_ordered,pba_water_content_normalized
Na1.85Fe0.5Mn0.25Co0.25[Fe(CN)6],1.85,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,148.7,3.32,80.8,92.0,76.6,80.0,5.0,0.1,24.0,10.9999/dummy.027,2024,Karlsruhe KIT,Ternary Fe/Mn/Co — Co offsets Mn JT damage,mp-697233,Na1.85Fe0.5Mn0.25Co0.25[Fe(CN)6],-1.658,0.0374,1.642,462.44,1.83,21.0,16.989,19.614763,80.652997,0.944479,2.451924,1.883281,0.757098,0.0,4.533123,0.116719,0.504732,0.621451,13.129338,2.082019,0.910095,201.760252,0.91694,1.05,2.11,7,0.519484,0.279338,3.04,0.93,11.35183,0.565773,2.369085,12.104101,0.351903,0.677866,4,1.340188,0.7837,0.085,6.0,0.25,3,157.25,0.925,1.0397,1,3.3,0.975,0.075,1.0,0.0
Na1.8Fe0.5Mn0.25Ni0.25[Fe(CN)6],1.8,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,119.7,3.19,83.6,92.3,79.0,80.0,5.0,0.1,24.0,10.9999/dummy.028,2024,Karlsruhe KIT,Ternary Fe/Mn/Ni — Ni JT-counterbalance to Mn,mp-834852,Na1.8Fe0.5Mn0.25Ni0.25[Fe(CN)6],-1.2584,0.1469,2.104,516.92,2.185,28.0,20.232,19.600285,80.936709,0.941614,2.457215,1.886076,0.775316,0.0,4.560127,0.113924,0.490506,0.60443,13.041139,2.088608,0.871835,202.164557,0.914272,1.05,2.11,8,0.513091,0.275869,3.04,0.93,11.36769,0.573734,2.367089,12.155063,0.34901,0.673104,4,1.337593,0.77,0.14,6.25,0.25,2,114.75,1.0,1.0397,1,3.25,0.9875,0.1,1.0,0.0
Na1.85Fe0.4Mn0.2Co0.2Ni0.2[Fe(CN)6],1.85,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,126.9,3.25,83.5,93.5,72.9,80.0,5.0,0.1,24.0,10.9999/dummy.029,2024,CIC Energigune,Quaternary high-entropy PBA — configurational entropy test,mp-774466,Na1.85Fe0.4Mn0.2Co0.2Ni0.2[Fe(CN)6],-1.6401,0.021,1.456,462.53,1.94,26.0,16.94,19.643754,80.716088,0.944227,2.453659,1.883281,0.782334,0.0,4.55836,0.116719,0.479495,0.596215,13.115142,2.082019,0.87224,201.858044,0.915899,1.05,2.11,8,0.516857,0.278956,3.04,0.93,11.350095,0.577382,2.369085,12.129338,0.351682,0.676141,5,1.366034,0.765,0.14,6.4,0.2,3,125.8,1.0,1.3322,1,3.26,1.0,0.075,1.0,0.0
Na1.9Fe[Fe0.95(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,146.6,3.13,78.5,86.3,75.4,60.0,5.0,0.1,6.0,10.9999/dummy.030,2023,SUNY Binghamton,Vacancy variant: 5% framework vacancies — mild fast-synth defect,,,,,,,,,,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,153.425,0.95,0.0,0,3.15,0.975,0.05,1.0,0.0
Na1.9Fe[Fe0.9(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,136.1,3.24,74.0,83.2,77.6,60.0,5.0,0.1,6.0,10.9999/dummy.031,2023,SUNY Binghamton,Vacancy variant: 10% vacancies — significant defect population,mp-580942,Na1.9Fe[Fe0.9(CN)6],-1.4804,0.0949,1.076,510.23,1.921,28.0,19.558,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,145.35,0.95,0.0,0,3.15,0.95,0.05,1.0,0.0
Na1.9Fe[Fe0.85(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,123.9,3.21,67.0,80.0,73.6,60.0,5.0,0.1,6.0,10.9999/dummy.032,2023,SUNY Binghamton,Vacancy variant: 15% vacancies — worst-case fast precipitation,,,,,,,,,,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,137.275,0.95,0.0,0,3.15,0.925,0.05,1.0,0.0
Na1.9Fe[Fe(CN)6]·H2O,1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,C/10,2.0,4.0,25.0,1M NaClO4 PC,145.6,3.09,81.7,88.9,75.4,25.0,5.0,0.1,2.0,10.9999/dummy.033,2023,Nankai Uni,"Hydrated variant: 1 H2O — mild hydration, ~4% capacity loss",mp-872548,Na1.9Fe[Fe(CN)6],-1.648,0.0885,0.69,492.42,1.903,29.0,18.52,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.1667
Na1.9Fe[Fe(CN)6]·2H2O,1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,C/10,2.0,4.0,25.0,1M NaClO4 PC,142.4,3.04,80.4,82.9,71.0,25.0,5.0,0.1,2.0,10.9999/dummy.034,2023,Nankai Uni,Hydrated variant: 2 H2O — typical incomplete-drying case,mp-594283,Na1.9Fe[Fe(CN)6],-1.2413,0.018,0.734,413.16,2.195,25.0,17.349,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.3333
Na1.9Fe[Fe(CN)6]·4H2O,1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,C/10,2.0,4.0,25.0,1M NaClO4 PC,125.5,3.19,76.4,73.8,62.9,25.0,5.0,0.1,2.0,10.9999/dummy.035,2023,Nankai Uni,Hydrated variant: 4 H2O — heavily hydrated (rare but useful edge),mp-818089,Na1.9Fe[Fe(CN)6],-1.6113,0.0236,0.796,540.42,2.063,23.0,17.067,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.6667
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,C/20,2.0,4.0,25.0,1M NaClO4 PC,166.7,3.23,78.5,92.2,79.7,80.0,5.0,0.1,24.0,10.9999/dummy.036,2023,Altris AB,Same Fe0.75Mn0.25 composition at C/20 — protocol normalisation training,mp-760767,Na1.9Fe0.75Mn0.25[Fe(CN)6],-1.3693,0.1427,0.737,527.58,2.182,29.0,14.975,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,159.3,3.24,79.8,93.3,74.8,80.0,5.0,0.1,24.0,10.9999/dummy.037,2023,Altris AB,Same Fe0.75Mn0.25 composition at C/10 — protocol normalisation training,mp-887324,Na1.9Fe0.75Mn0.25[Fe(CN)6],-1.5346,0.0453,2.337,517.19,1.866,24.0,21.976,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,C/5,2.0,4.0,25.0,1M NaClO4 PC,140.1,3.24,80.4,92.7,78.3,80.0,5.0,0.1,24.0,10.9999/dummy.038,2023,Altris AB,Same Fe0.75Mn0.25 composition at C/5 — protocol normalisation training,mp-772291,Na1.9Fe0.75Mn0.25[Fe(CN)6],-1.7826,0.0361,0.786,516.52,1.919,28.0,21.285,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,1C,2.0,4.0,25.0,1M NaClO4 PC,131.2,3.25,79.5,92.8,74.0,80.0,5.0,0.1,24.0,10.9999/dummy.039,2023,Altris AB,Same Fe0.75Mn0.25 composition at 1C — protocol normalisation training,,,,,,,,,,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,2C,2.0,4.0,25.0,1M NaClO4 PC,104.6,3.15,74.7,92.7,77.4,80.0,5.0,0.1,24.0,10.9999/dummy.040,2023,Altris AB,Same Fe0.75Mn0.25 composition at 2C — protocol normalisation training,,,,,,,,,,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,5C,2.0,4.0,25.0,1M NaClO4 PC,86.3,3.33,75.6,93.4,78.2,80.0,5.0,0.1,24.0,10.9999/dummy.041,2023,Altris AB,Same Fe0.75Mn0.25 composition at 5C — protocol normalisation training,,,,,,,,,,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe[Fe(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,149.3,3.08,83.7,91.6,79.6,80.0,5.0,0.1,24.0,10.9999/dummy.042,2024,TU Delft,Voltage window variation: Standard 2.0-4.0V window — baseline,,,,,,,,,,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.0
Na1.9Fe[Fe(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,3.8,25.0,1M NaClO4 PC,134.0,3.17,83.4,92.5,77.7,80.0,5.0,0.1,24.0,10.9999/dummy.043,2024,TU Delft,Voltage window variation: Narrower 2.0-3.8V — misses upper Na extraction,mp-664624,Na1.9Fe[Fe(CN)6],-1.745,0.0275,2.46,468.78,2.27,21.0,19.091,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.0
Na1.9Fe[Fe(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.5,4.0,25.0,1M NaClO4 PC,138.1,3.17,87.0,91.7,75.0,80.0,5.0,0.1,24.0,10.9999/dummy.044,2024,TU Delft,Voltage window variation: Higher 2.5-4.0V — misses lower Na sites,mp-602997,Na1.9Fe[Fe(CN)6],-1.2356,0.0223,1.517,460.61,2.085,26.0,14.954,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.0
Na1.9Fe[Fe(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,1.5,4.2,25.0,1M NaClO4 PC,167.5,3.16,86.6,91.2,78.7,80.0,5.0,0.1,24.0,10.9999/dummy.045,2024,TU Delft,Voltage window variation: Wide 1.5-4.2V — accesses more Na sites; stresses framework,mp-888585,Na1.9Fe[Fe(CN)6],-1.5547,0.0326,1.677,447.56,1.822,24.0,17.347,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.0
Na1.85Fe0.8Mn0.2[Fe(CN)6],1.85,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,156.6,3.3,,,,80.0,5.0,0.1,24.0,10.9999/dummy.046,2018,Older paper 2018,Older paper - did not report retention/ICE/rate_cap,,,,,,,,,,19.569054,80.640379,0.944606,2.452019,1.883281,0.744479,0.0,4.520505,0.116719,0.51735,0.634069,13.139117,2.082019,0.929022,202.350158,0.917666,1.05,2.11,6,0.51934,0.279529,3.04,0.93,11.353628,0.558202,2.369085,12.091483,0.352013,0.677567,3,1.288385,0.79,0.05,5.8,0.2,2,157.25,0.925,0.5004,1,3.24,0.97,0.075,1.0,0.0
Na1.9Fe0.9Co0.1[Fe(CN)6],1.9,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,152.8,3.2,84.9,93.1,75.7,,,,,10.9999/dummy.047,2023,Independent lab,Missing synthesis parameters - real labs often omit,,,,,,,,,,19.610629,80.440252,0.947107,2.451069,1.880503,0.761006,0.0,4.528302,0.119497,0.496855,0.616352,13.20566,2.075472,0.933962,202.36478,0.918742,1.05,2.11,7,0.519141,0.282426,3.04,0.93,11.339874,0.56327,2.371069,12.075472,0.35454,0.677639,3,1.27513,0.7765,0.035,6.1,0.0,2,161.5,0.95,0.3251,0,3.165,1.005,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaPF6 EC:DEC,163.8,3.27,81.8,92.1,79.2,80.0,5.0,0.1,24.0,10.9999/dummy.048,2024,Argonne NL,Different SEI chemistry with NaPF6/EC:DEC,,,,,,,,,,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe[Fe(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 EC:PC,151.2,3.11,85.6,91.1,79.3,80.0,5.0,0.1,24.0,10.9999/dummy.049,2024,CIC Energigune,EC:PC solvent - improves low-T behavior,mp-828754,Na1.9Fe[Fe(CN)6],-1.6316,0.0501,0.846,447.08,2.246,20.0,14.117,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,40.0,1M NaClO4 PC,142.9,3.19,57.8,92.9,76.6,80.0,5.0,0.1,24.0,10.9999/dummy.050,2024,Altris AB,40C accelerated aging - retention loss vs 25C baseline,mp-703324,Na1.9Fe0.75Mn0.25[Fe(CN)6],-1.2249,0.1493,2.044,446.64,2.213,23.0,19.643,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
